StartDate,EndDate,HomeTeam,AwayTeam,Winner,Margin,Type,Ground,Scorecard
1877-03-15,1877-03-19,Australia,England,Australia,45,Runs,Melbourne,Test # 1
1877-03-31,1877-04-04,Australia,England,England,4,Wickets,Melbourne,Test # 2
1879-01-02,1879-01-04,Australia,England,Australia,10,Wickets,Melbourne,Test # 3
1880-09-06,1880-09-08,England,Australia,England,5,Wickets,The Oval,Test # 4
1881-12-31,1882-01-04,Australia,England,Drawn,NA,NA,Melbourne,Test # 5
1882-02-17,1882-02-21,Australia,England,Australia,5,Wickets,Sydney,Test # 6
1882-03-03,1882-03-07,Australia,England,Australia,6,Wickets,Sydney,Test # 7
1882-03-10,1882-03-14,Australia,England,Drawn,NA,NA,Melbourne,Test # 8
1882-08-28,1882-08-29,England,Australia,Australia,7,Runs,The Oval,Test # 9
1882-12-30,1883-01-02,Australia,England,Australia,9,Wickets,Melbourne,Test # 10
1883-01-19,1883-01-22,Australia,England,England,27,Innings,Melbourne,Test # 11
1883-01-26,1883-01-30,Australia,England,England,69,Runs,Sydney,Test # 12
1883-02-17,1883-02-21,Australia,England,Australia,4,Wickets,Sydney,Test # 13
1884-07-10,1884-07-12,England,Australia,Drawn,NA,NA,Manchester,Test # 14
1884-07-21,1884-07-23,England,Australia,England,5,Innings,Lord's,Test # 15
1884-08-11,1884-08-13,England,Australia,Drawn,NA,NA,The Oval,Test # 16
1884-12-12,1884-12-16,Australia,England,England,8,Wickets,Adelaide,Test # 17
1885-01-01,1885-01-05,Australia,England,England,10,Wickets,Melbourne,Test # 18
1885-02-20,1885-02-24,Australia,England,Australia,6,Runs,Sydney,Test # 19
1885-03-14,1885-03-17,Australia,England,Australia,8,Wickets,Sydney,Test # 20
1885-03-21,1885-03-25,Australia,England,England,98,Innings,Melbourne,Test # 21
1886-07-05,1886-07-07,England,Australia,England,4,Wickets,Manchester,Test # 22
1886-07-19,1886-07-21,England,Australia,England,106,Innings,Lord's,Test # 23
1886-08-12,1886-08-14,England,Australia,England,217,Innings,The Oval,Test # 24
1887-01-28,1887-01-31,Australia,England,England,13,Runs,Sydney,Test # 25
1887-02-25,1887-03-01,Australia,England,England,71,Runs,Sydney,Test # 26
1888-02-10,1888-02-15,Australia,England,England,126,Runs,Sydney,Test # 27
1888-07-16,1888-07-17,England,Australia,Australia,61,Runs,Lord's,Test # 28
1888-08-13,1888-08-14,England,Australia,England,137,Innings,The Oval,Test # 29
1888-08-30,1888-08-31,England,Australia,England,21,Innings,Manchester,Test # 30
1889-03-12,1889-03-13,South Africa,England,England,8,Wickets,Port Elizabeth,Test # 31
1889-03-25,1889-03-26,South Africa,England,England,202,Innings,Cape Town,Test # 32
1890-07-21,1890-07-23,England,Australia,England,7,Wickets,Lord's,Test # 33
1890-08-11,1890-08-12,England,Australia,England,2,Wickets,The Oval,Test # 34
1892-01-01,1892-01-06,Australia,England,Australia,54,Runs,Melbourne,Test # 35
1892-01-29,1892-02-03,Australia,England,Australia,72,Runs,Sydney,Test # 36
1892-03-19,1892-03-22,South Africa,England,England,189,Innings,Cape Town,Test # 37
1892-03-24,1892-03-28,Australia,England,England,230,Innings,Adelaide,Test # 38
1893-07-17,1893-07-19,England,Australia,Drawn,NA,NA,Lord's,Test # 39
1893-08-14,1893-08-16,England,Australia,England,43,Innings,The Oval,Test # 40
1893-08-24,1893-08-26,England,Australia,Drawn,NA,NA,Manchester,Test # 41
1894-12-14,1894-12-20,Australia,England,England,10,Runs,Sydney,Test # 42
1894-12-29,1895-01-03,Australia,England,England,94,Runs,Melbourne,Test # 43
1895-01-11,1895-01-15,Australia,England,Australia,382,Runs,Adelaide,Test # 44
1895-02-01,1895-02-04,Australia,England,Australia,147,Innings,Sydney,Test # 45
1895-03-01,1895-03-06,Australia,England,England,6,Wickets,Melbourne,Test # 46
1896-02-13,1896-02-14,South Africa,England,England,288,Runs,Port Elizabeth,Test # 47
1896-03-02,1896-03-04,South Africa,England,England,197,Innings,Johannesburg,Test # 48
1896-03-21,1896-03-23,South Africa,England,England,33,Innings,Cape Town,Test # 49
1896-06-22,1896-06-24,England,Australia,England,6,Wickets,Lord's,Test # 50
1896-07-16,1896-07-18,England,Australia,Australia,3,Wickets,Manchester,Test # 51
1896-08-10,1896-08-12,England,Australia,England,66,Runs,The Oval,Test # 52
1897-12-13,1897-12-17,Australia,England,England,9,Wickets,Sydney,Test # 53
1898-01-01,1898-01-05,Australia,England,Australia,55,Innings,Melbourne,Test # 54
1898-01-14,1898-01-19,Australia,England,Australia,13,Innings,Adelaide,Test # 55
1898-01-29,1898-02-02,Australia,England,Australia,8,Wickets,Melbourne,Test # 56
1898-02-26,1898-03-02,Australia,England,Australia,6,Wickets,Sydney,Test # 57
1899-02-14,1899-02-16,South Africa,England,England,32,Runs,Johannesburg,Test # 58
1899-04-01,1899-04-04,South Africa,England,England,210,Runs,Cape Town,Test # 59
1899-06-01,1899-06-03,England,Australia,Drawn,NA,NA,Nottingham,Test # 60
1899-06-15,1899-06-17,England,Australia,Australia,10,Wickets,Lord's,Test # 61
1899-06-29,1899-07-01,England,Australia,Drawn,NA,NA,Leeds,Test # 62
1899-07-17,1899-07-19,England,Australia,Drawn,NA,NA,Manchester,Test # 63
1899-08-14,1899-08-16,England,Australia,Drawn,NA,NA,The Oval,Test # 64
1901-12-13,1901-12-16,Australia,England,England,124,Innings,Sydney,Test # 65
1902-01-01,1902-01-04,Australia,England,Australia,229,Runs,Melbourne,Test # 66
1902-01-17,1902-01-23,Australia,England,Australia,4,Wickets,Adelaide,Test # 67
1902-02-14,1902-02-18,Australia,England,Australia,7,Wickets,Sydney,Test # 68
1902-02-28,1902-03-04,Australia,England,Australia,32,Runs,Melbourne,Test # 69
1902-05-29,1902-05-31,England,Australia,Drawn,NA,NA,Birmingham,Test # 70
1902-06-12,1902-06-14,England,Australia,Drawn,NA,NA,Lord's,Test # 71
1902-07-03,1902-07-05,England,Australia,Australia,143,Runs,Sheffield,Test # 72
1902-07-24,1902-07-26,England,Australia,Australia,3,Runs,Manchester,Test # 73
1902-08-11,1902-08-13,England,Australia,England,1,wicket,The Oval,Test # 74
1902-10-11,1902-10-14,South Africa,Australia,Drawn,NA,NA,Johannesburg,Test # 75
1902-10-18,1902-10-21,South Africa,Australia,Australia,159,Runs,Johannesburg,Test # 76
1902-11-08,1902-11-11,South Africa,Australia,Australia,10,Wickets,Cape Town,Test # 77
1903-12-11,1903-12-17,Australia,England,England,5,Wickets,Sydney,Test # 78
1904-01-01,1904-01-05,Australia,England,England,185,Runs,Melbourne,Test # 79
1904-01-15,1904-01-20,Australia,England,Australia,216,Runs,Adelaide,Test # 80
1904-02-26,1904-03-03,Australia,England,England,157,Runs,Sydney,Test # 81
1904-03-05,1904-03-08,Australia,England,Australia,218,Runs,Melbourne,Test # 82
1905-05-29,1905-05-31,England,Australia,England,213,Runs,Nottingham,Test # 83
1905-06-15,1905-06-17,England,Australia,Drawn,NA,NA,Lord's,Test # 84
1905-07-03,1905-07-05,England,Australia,Drawn,NA,NA,Leeds,Test # 85
1905-07-24,1905-07-26,England,Australia,England,80,Innings,Manchester,Test # 86
1905-08-14,1905-08-16,England,Australia,Drawn,NA,NA,The Oval,Test # 87
1906-01-02,1906-01-04,South Africa,England,South Africa,1,wicket,Johannesburg,Test # 88
1906-03-06,1906-03-08,South Africa,England,South Africa,9,Wickets,Johannesburg,Test # 89
1906-03-10,1906-03-14,South Africa,England,South Africa,243,Runs,Johannesburg,Test # 90
1906-03-24,1906-03-27,South Africa,England,England,4,Wickets,Cape Town,Test # 91
1906-03-30,1906-04-02,South Africa,England,South Africa,16,Innings,Cape Town,Test # 92
1907-07-01,1907-07-03,England,South Africa,Drawn,NA,NA,Lord's,Test # 93
1907-07-29,1907-07-31,England,South Africa,England,53,Runs,Leeds,Test # 94
1907-08-19,1907-08-21,England,South Africa,Drawn,NA,NA,The Oval,Test # 95
1907-12-13,1907-12-19,Australia,England,Australia,2,Wickets,Sydney,Test # 96
1908-01-01,1908-01-07,Australia,England,England,1,wicket,Melbourne,Test # 97
1908-01-10,1908-01-16,Australia,England,Australia,245,Runs,Adelaide,Test # 98
1908-02-07,1908-02-11,Australia,England,Australia,308,Runs,Melbourne,Test # 99
1908-02-21,1908-02-27,Australia,England,Australia,49,Runs,Sydney,Test # 100
1909-05-27,1909-05-29,England,Australia,England,10,Wickets,Birmingham,Test # 101
1909-06-14,1909-06-16,England,Australia,Australia,9,Wickets,Lord's,Test # 102
1909-07-01,1909-07-03,England,Australia,Australia,126,Runs,Leeds,Test # 103
1909-07-26,1909-07-28,England,Australia,Drawn,NA,NA,Manchester,Test # 104
1909-08-09,1909-08-11,England,Australia,Drawn,NA,NA,The Oval,Test # 105
1910-01-01,1910-01-05,South Africa,England,South Africa,19,Runs,Johannesburg,Test # 106
1910-01-21,1910-01-26,South Africa,England,South Africa,95,Runs,Durban,Test # 107
1910-02-26,1910-03-03,South Africa,England,England,3,Wickets,Johannesburg,Test # 108
1910-03-07,1910-03-09,South Africa,England,South Africa,4,Wickets,Cape Town,Test # 109
1910-03-11,1910-03-14,South Africa,England,England,9,Wickets,Cape Town,Test # 110
1910-12-09,1910-12-14,Australia,South Africa,Australia,114,Innings,Sydney,Test # 111
1910-12-31,1911-01-04,Australia,South Africa,Australia,89,Runs,Melbourne,Test # 112
1911-01-07,1911-01-13,Australia,South Africa,South Africa,38,Runs,Adelaide,Test # 113
1911-02-17,1911-02-21,Australia,South Africa,Australia,530,Runs,Melbourne,Test # 114
1911-03-03,1911-03-07,Australia,South Africa,Australia,7,Wickets,Sydney,Test # 115
1911-12-15,1911-12-21,Australia,England,Australia,146,Runs,Sydney,Test # 116
